guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:178230,Sorex trowbridgii trowbridgii,178230,Martin G. Raphael,California,Siskiyou County,"Klamath National Forest, Road Junction, 14.4 km N, 0.8 km E Somes Bar",Martin G. Raphael 545,1982-12-14,skull,unknown,41.51127,-123.48023,864,111,48,13,,,,mm,mm,mm,,,,,
MVZ:Mamm:178227,Sorex trowbridgii trowbridgii,178227,Martin G. Raphael,California,Siskiyou County,"Klamath National Forest, Road Junction, 14.4 km N, 0.8 km E Somes Bar",Martin G. Raphael 542,1982-12-14,skull,unknown,41.51127,-123.48023,864,,52,13,,,,,mm,mm,,,,,
MVZ:Mamm:178236,Sorex trowbridgii trowbridgii,178236,Martin G. Raphael,California,Siskiyou County,"Klamath National Forest, Road Junction, 14.4 km N, 0.8 km E Somes Bar",Martin G. Raphael 551,1982-12-14,skull,unknown,41.51127,-123.48023,864,116,53,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:178437,Sorex trowbridgii humboldtensis,178437,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Barnum Ridge East, 7.2 km N, 4.5 km W Big Bar",Martin G. Raphael 754,1982-12-07,skull,unknown,40.8143031,-123.3244689,3230,103,45,14,,,,mm,mm,mm,,,,,
MVZ:Mamm:196605,Sorex trowbridgii mariposae,196605,James L. Patton,California,Tehama County,"Trapsite R-1, Lassen Volcanic National Park",James L. Patton 18086,2000-07-29,"DNA; skeleton; tissue (ethanol, 95%)",female,40.4322209,-121.5330702,312,,,,,,,,,,,,,,
MVZ:Mamm:178495,Sorex trowbridgii humboldtensis,178495,Martin G. Raphael,California,Trinity County,"Shasta-Trinity National Forest, Hennessy Peak, 3.2 km W Burnt Ranch",Martin G. Raphael 1236,1983-08-15,skull,unknown,40.80611,-123.53139,876,92,56,14,5,,,mm,mm,mm,mm,,,,
MVZ:Mamm:201315,Sorex trowbridgii mariposae,201315,Christopher J. Conroy,California,Mariposa County,"Merced Grove, Yosemite National Park",Christopher J. Conroy 896,2003-06-13,DNA; tissue (frozen); whole organism (ethanol),unknown,37.7477,-119.8386,426,125.0,55.0,13.0,8.0,,7.00,mm,mm,mm,mm,,g,,
MVZ:Mamm:69048,Sorex trowbridgii trowbridgii,69048,David H. Johnson,California,Siskiyou County,"Poker Flat, 12 mi NW Happy Camp",David H. Johnson 774,1935-07-02,"skin, study; skull",female,41.9318434,-123.5434292,319,114,50,13.5,8.5,,6,mm,mm,mm,mm,,g,,
MVZ:Mamm:218830,Sorex trowbridgii mariposae,218830,John O. Matson,California,Modoc County,"head of North Fork Parker Creek, Warner Mts.",John O. Matson 7000,2005-06-05,"carcass (ethanol); skin, study; skull; tissue (ethanol, 95%)",female,41.4594166667,-120.24495,232,109,53,13,8,,6,mm,mm,mm,mm,,g,lact.,
MVZ:Mamm:57240,Sorex trowbridgii montereyensis,57240,,California,Contra Costa County,W side Wildcat Canyon,12,1933-04-07,"skin, study; skull",female,37.9291957,-122.2826265,2466,119,49,14,9,,,mm,mm,mm,mm,,,"6 embryos, 16 mm",
