guid,subspecies,catalognumberint,collectors,state_prov,county,spec_locality,collectornumber,date,parts,sex,dec_lat,dec_long,coordinateuncertaintyinmeters,total length,tail length,hind foot with claw,ear from notch,ear from crown,weight,total length unit,tail length unit,hind foot with claw unit,ear from notch unit,ear from crown unit,weight unit,reproductive data,unformatted measurements
MVZ:Mamm:196642,Sorex vagrans vagrans,196642,James L. Patton,California,Shasta County,"Trapsite R-2, Lassen Volcanic National Park",James L. Patton 18099,2000-09-18,"skeleton; tissue (ethanol, 95%)",female,40.5205994,-121.474732,312,,,,,,,,,,,,,,
MVZ:Mamm:169047,,169047,Edward J. Heske,California,Monterey County,Salinas River Wildlife Refuge,Edward J. Heske 413,1982-01-09,skeleton,female,36.740111,-121.803876,322,94,36,12,6,,4.5,mm,mm,mm,mm,,g,,
MVZ:Mamm:94093,Sorex vagrans vagrans,94093,John Davis,Oregon,Clatsop County,Old Fort Clatsop,John Davis 300,1940-08-20,"skin, study; skull",male,46.1339,-123.8761,13,93,41,13,9,,4.3,mm,mm,mm,mm,,g,,
MVZ:Mamm:143103,Sorex vagrans vagrans,143103,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Delta, Westham Island, Westham Island",1920,1972-10-18,"skin, study; skull",female,49.0833,-123.0833,4149,106,45,12.5,7,3,4.1,mm,mm,mm,mm,mm,g,Uterus tiny; molting,
MVZ:Mamm:103418,Sorex vagrans vagrans,103418,,California,Shasta County,"0.25 mi downstream from Lily Pond, Lassen National Park",177,1945-07-19,"skin, study; skull",male,40.5398156,-121.5615408,475,108,40,12,8,3,5,mm,mm,mm,mm,mm,g,,
MVZ:Mamm:143621,Sorex vagrans vagrans,143621,"Myrnal L. Hawes, Charles J. Krebs",British Columbia,,"Serpentine River, Surrey",1896,1972-09-27,"skin, study; skull",male,49.1167,-122.75,3666,99,46,12,7,3,3.1,mm,mm,mm,mm,mm,g,Testes: 1.5 x 1.5 mm,
MVZ:Mamm:142589,Sorex vagrans vagrans,142589,Myrnal L. Hawes,British Columbia,,"Ladner Air Force Base, Delta",Myrnal L. Hawes 1549,1972-08-01,"skin, study; skull",male,49.0833,-123.0833,4149,102,45,12,7,3,3.2,mm,mm,mm,mm,mm,g,testes 1x1 mm,
MVZ:Mamm:143407,Sorex vagrans vagrans,143407,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 882,1972-03-28,"skin, study; skull",female,49.1167,-122.75,3666,104,43,12,8,3,5.9,mm,mm,mm,mm,mm,g,"lactating heavily, no scars",
MVZ:Mamm:143409,Sorex vagrans vagrans,143409,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 884,1972-03-28,"skin, study; skull",male,49.1167,-122.75,3666,110,45,13,8,4,5.8,mm,mm,mm,mm,mm,g,testes: 4 x 5 mm,
MVZ:Mamm:143405,Sorex vagrans vagrans,143405,Myrnal L. Hawes,British Columbia,,"Serpentine River, Surrey",Myrnal L. Hawes 880,1972-03-28,"skin, study; skull",male,49.1167,-122.75,3666,105,42,12,8,3,6.3,mm,mm,mm,mm,mm,g,testes: 4 x 4.5 mm,
MVZ:Mamm:65927,Sorex vagrans vancouverensis,65927,,British Columbia,,"Bowen Island, Howe Sound, Bowen Island",,1935-03-26,"skin, study; skull",female,49.376817,-123.366597,6276,101,45,12,,,,mm,mm,mm,,,,,
